month,airline,avg(departure_delay)
1,EV,9.752522427331304
1,B6,10.035555988505187
1,AS,3.1782088195181086
1,MQ,16.081207083483918
1,US,5.197315065126567
1,DL,5.904238298406325
1,VX,6.910771877015695
1,WN,9.514469976705627
1,UA,14.010359374165644
1,AA,10.593542260208928
1,F9,17.98443291326909
1,HA,1.3100654409473356
1,OO,12.155156988880842
1,NK,13.146293512200764
2,F9,25.710005256702296
2,HA,2.580505540166205
2,WN,9.860233520441684
2,US,9.123065637335383
2,VX,12.60054014240118
2,OO,10.954535862505569
2,B6,19.665222805782662
2,AS,2.7038140150574996
2,EV,11.230904135561085
2,NK,16.958248212461697
2,UA,14.907992169546345
2,AA,10.258853469059737
2,MQ,18.600578558784164
2,DL,12.22644376899696
3,NK,12.613167835941717
3,HA,0.8240241193271978
3,US,5.955991233785465
3,B6,15.173697046337278
3,MQ,12.310134076931892
3,WN,10.132266044340723
3,VX,10.592154420921544
3,DL,8.443340392029103
3,AS,3.0635622980755723
3,UA,13.96085955487337
3,EV,8.892073357888275
3,F9,20.011169132579056
3,AA,11.0866277765313
3,OO,5.847798463058957
4,NK,9.929517753047165
4,AS,0.004241552839683681
4,WN,8.817762486294377
4,F9,11.723182904540982
4,EV,6.796095847965296
4,AA,10.55527802155764
4,US,4.508354994430004
4,MQ,8.895925419914812
4,VX,5.653336053866558
4,HA,-2.2163761920420915
4,UA,12.981618722574353
4,OO,5.347865390146691
4,DL,6.2334550401910285
4,B6,8.327438885081106
5,DL,7.488959117265021
5,HA,-1.3497199751088986
5,EV,10.087308992141983
5,VX,10.71033422973492
5,WN,11.931227636336388
5,US,4.068512337584933
5,F9,11.230237154150197
5,UA,14.702455169912266
5,OO,6.018216488153197
5,B6,7.0335744262880615
5,AS,-0.1971176832183594
5,AA,11.111627694972423
5,NK,23.60744053669445
5,MQ,9.55347756997922
6,F9,19.115840448579075
6,DL,10.87758202095478
6,VX,8.697825257535293
6,B6,11.430771986387247
6,MQ,13.159374094465372
6,AA,14.182827822120867
6,UA,24.401683023224834
6,HA,-1.217039148042598
6,AS,1.9404872853148716
6,NK,36.16178670656123
6,US,8.314896494942367
6,WN,16.051662806855024
6,EV,15.235163908506378
6,OO,10.162167647655775
7,F9,13.837096774193549
7,MQ,9.06921102740293
7,B6,11.296232517115376
7,AA,9.721148618593388
7,OO,8.851215609154183
7,NK,16.4119257086999
7,UA,19.4049805684014
7,DL,8.270346349871653
7,WN,15.616418929100078
7,AS,2.5617315249081
7,EV,9.052346716212941
7,VX,9.75101965146459
7,HA,0.7099049812841923
8,AA,9.357355267320468
8,WN,11.738553002445261
8,NK,22.256117773228038
8,OO,7.74720181545444
8,VX,8.900652902770425
8,MQ,8.275043029259896
8,DL,7.746436386563972
8,HA,4.819096209912536
8,AS,3.6687624501992033
8,EV,7.785357702349869
8,F9,8.849347129834936
8,UA,14.30611294649786
8,B6,14.604436150812163
9,NK,9.67331040064751
9,B6,7.777772498336976
9,AA,4.966656628979715
9,EV,3.5851717236778544
9,MQ,4.605790432365065
9,AS,0.2328421052631579
9,VX,3.2929626749611196
9,UA,7.451806361848102
9,OO,3.8653516838967463
9,DL,3.514294040911488
9,F9,5.095134997452878
9,HA,2.096526985162237
9,WN,5.380072402341607
10,EV,4.631744067871503
10,B6,8.036856841235599
10,MQ,3.4575873337322225
10,DL,3.2157428613034327
10,F9,4.031029793546792
10,WN,6.052321954683737
10,OO,3.6505505814551817
10,NK,8.284940411700974
10,AS,-0.08837789167474719
10,VX,7.083256754273112
10,HA,0.16837881219903691
10,UA,7.381777272925859
10,AA,5.313371455428482
11,MQ,7.2038635429510895
11,DL,4.537664783427496
11,WN,7.865229241229474
11,F9,11.658946823651183
11,VX,5.780515117581187
11,AS,1.7074345700316365
11,NK,8.645632515154526
11,OO,6.818505338078292
11,B6,7.108176974750984
11,AA,6.446925394293816
11,HA,-1.7259136212624584
11,UA,11.242922913469483
11,EV,7.1404049821893905
12,MQ,7.0812453669384725
12,DL,10.521535514085008
12,HA,-0.44286399232859197
12,AS,2.593558708959377
12,EV,9.979379027533685
12,B6,18.069931271477664
12,AA,9.118865071364143
12,VX,18.362112932604735
12,NK,14.324437666793747
12,F9,16.052114427860698
12,UA,17.82886660731856
12,OO,12.790967044840627
12,WN,12.93994824915952
