month,airline,avg(arrival_delay),avg(departure_delay)
11,AA,0.7726303123119838,6.446925394293816
11,HA,-2.7198935462408516,-1.7259136212624584
11,UA,0.2810635476844398,11.242922913469483
11,EV,4.4159302660647395,7.1404049821893905
12,MQ,0.6624856901099995,7.0812453669384725
12,DL,2.5045953790120645,10.521535514085008
12,HA,-1.7064748201438849,-0.44286399232859197
12,AS,-1.846680642907058,2.593558708959377
12,EV,6.685175583313693,9.979379027533685
12,B6,13.8392895633056,18.069931271477664
12,AA,4.149684328298569,9.118865071364143
12,VX,13.49872029250457,18.362112932604735
12,NK,12.733123269359305,14.324437666793747
12,F9,9.346221002743826,16.052114427860698
12,UA,7.0120787705033605,17.82886660731856
12,OO,10.947612212943632,12.790967044840627
12,WN,6.720893444098173,12.93994824915952
