month,airline,avg(arrival_delay),avg(departure_delay)
1,EV,8.537496880459196,9.752522427331304
1,B6,7.347280539009862,10.035555988505187
1,AS,-0.3208881453881834,3.1782088195181086
1,MQ,18.164973882762624,16.081207083483918
1,US,3.107457355748507,5.197315065126567
1,DL,-2.0438469753125195,5.904238298406325
1,VX,1.4207015278674413,6.910771877015695
1,WN,3.3894656332857434,9.514469976705627
1,UA,6.352728635280893,14.010359374165644
1,AA,6.955843432232902,10.593542260208928
1,F9,18.357238307349665,17.98443291326909
1,HA,3.5126404494382024,1.3100654409473356
1,OO,10.889893902046941,12.155156988880842
1,NK,11.39805375347544,13.146293512200764
2,F9,27.42417852749956,25.710005256702296
2,HA,6.029967088169063,2.580505540166205
2,WN,3.501363468293585,9.860233520441684
2,US,7.114455084359325,9.123065637335383
2,VX,7.784410458806118,12.60054014240118
2,OO,9.58889490918514,10.954535862505569
2,B6,18.657672849915684,19.665222805782662
2,AS,-0.7829231792484204,2.7038140150574996
2,EV,10.417236043328176,11.230904135561085
2,NK,16.47446563419941,16.958248212461697
2,UA,7.260661890139884,14.907992169546345
2,AA,7.530204410973642,10.258853469059737
2,MQ,21.301626652748784,18.600578558784164
2,DL,5.6147452175385135,12.22644376899696
3,NK,10.039118219148476,12.613167835941717
3,HA,3.4683825865904034,0.8240241193271978
3,US,3.3307872915861743,5.955991233785465
3,B6,10.74131747400917,15.173697046337278
3,MQ,11.018417619522676,12.310134076931892
3,WN,3.2633406330132706,10.132266044340723
3,VX,5.348206839032527,10.592154420921544
3,DL,2.077965363842899,8.443340392029103
3,AS,-0.5447309101155255,3.0635622980755723
3,UA,4.892211518275757,13.96085955487337
3,EV,6.730101204819277,8.892073357888275
3,F9,20.07485465116279,20.011169132579056
3,AA,6.693586858685869,11.0866277765313
3,OO,3.1816931323960755,5.847798463058957
4,NK,8.766224110462028,9.929517753047165
4,AS,-3.0090025207057978,0.004241552839683681
4,WN,2.996398786959818,8.817762486294377
4,F9,12.640439932318104,11.723182904540982
4,EV,4.821252726706139,6.796095847965296
4,AA,4.931777541365808,10.55527802155764
4,US,2.66028960342315,4.508354994430004
4,MQ,5.1312277580071175,8.895925419914812
4,VX,0.9955065359477124,5.653336053866558
4,HA,0.011021549596973186,-2.2163761920420915
4,UA,4.376092010277744,12.981618722574353
4,OO,3.2237962676564593,5.347865390146691
4,DL,0.08334260598642483,6.2334550401910285
4,B6,2.780105432042173,8.327438885081106
5,DL,0.14933329752521116,7.488959117265021
5,HA,0.8264256777812402,-1.3497199751088986
5,EV,7.7242897075389045,10.087308992141983
5,VX,7.102021174205968,10.71033422973492
5,WN,5.680776826859776,11.931227636336388
5,US,0.6816048312356124,4.068512337584933
5,F9,13.007554179566563,11.230237154150197
5,UA,6.827694692686485,14.702455169912266
5,OO,4.14116186288878,6.018216488153197
5,B6,-0.7090193271295634,7.0335744262880615
5,AS,-1.7163984936665526,-0.1971176832183594
5,AA,5.173878150008026,11.111627694972423
5,NK,22.39734693877551,23.60744053669445
5,MQ,5.466789592296661,9.55347756997922
6,F9,19.71295111338623,19.115840448579075
6,DL,4.419593538301198,10.87758202095478
6,VX,5.779414578151903,8.697825257535293
6,B6,5.047154544637238,11.430771986387247
6,MQ,9.639323079488141,13.159374094465372
6,AA,8.191016646031091,14.182827822120867
6,UA,16.932662867359483,24.401683023224834
6,HA,0.8827855320426234,-1.217039148042598
6,AS,-0.22062062062062063,1.9404872853148716
6,NK,35.56150134048257,36.16178670656123
6,US,5.7662958482103335,8.314896494942367
6,WN,10.743462226195797,16.051662806855024
6,EV,13.952792976205624,15.235163908506378
6,OO,8.338476904888092,10.162167647655775
7,F9,14.464543418760886,13.837096774193549
