Height,Weight
0,3.731807941012962
127,52
128,74
130,59
131,41
132,50.75
133,39.5
135,36.666666666666664
136,38.2
137,40.166666666666664
138,48.833333333333336
139,34.625
140,42.3125
141,36
142,37.107142857142854
143,40.5
144,37.89473684210526
145,41.90243902439025
146,41.903225806451616
147,42.08
148,41.45762711864407
149,44.84905660377358
150,47.688976377952756
151,48.064935064935064
152,47.70684039087948
153,48.29761904761905
154,49.40384615384615
155,50.33859649122807
156,51.64235294117647
157,51.09128065395095
158,51.86848635235732
159,53.63457760314342
160,54.490611458834856
161,54.205839416058396
162,55.18414634146342
163,56.05059021922428
164,56.891712038717486
165,58.19769162474105
166,58.487597911227155
167,59.174499387004495
168,59.89232030609456
169,61.847265221878224
170,62.56073446327684
171,64.22898120672602
172,66.02165196471532
173,64.94206008583691
174,67.6074252320385
175,68.7594862813777
176,69.96905282900906
177,71.39474747474748
178,71.29608833988397
179,72.7247353224254
180,74.54187898089172
181,76.07490808823529
182,77.17813504823151
183,77.3337297811608
184,79.38667900092507
185,80.00198356474922
186,82.42529233434387
187,83.08116710875332
188,83.42048624950179
189,84.75250227479526
190,86.39723063608827
191,86.5123062898815
192,89.07611798287346
193,89.53193209377527
194,90.78832116788321
195,91.81806282722513
196,92.46769662921348
197,94.59887005649718
198,94.80536912751678
199,95.19753086419753
200,96.49738219895288
201,95.78212290502793
202,99.90532544378698
203,99.2760736196319
204,99.04716981132076
205,100.01886792452831
206,99.57471264367815
207,102.4375
208,105.18181818181819
209,100.08695652173913
210,110.25
211,106.28125
212,104.8
213,109.61764705882354
214,103.16666666666667
215,108.72727272727273
216,115.55555555555556
217,105.66666666666667
218,113.42857142857143
219,108.5
220,119
221,120.33333333333333
223,112
226,141
